台灣頻道,#genre#
中天新聞台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv009/index.m3u8
中天新聞台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv009/index.m3u8
中視,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv040/index.m3u8
中視,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv040/index.m3u8
中視,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv040/index.m3u8
中視菁采台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv064/index.m3u8
中視菁采台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv064/index.m3u8
中視新聞台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv074/index.m3u8
中視新聞台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv074/index.m3u8
中視新聞台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv074/index.m3u8
中視經典台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv080/index.m3u8
中視經典台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv080/index.m3u8
公視戲劇,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv042/index.m3u8
公視戲劇,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv042/index.m3u8
半島國際新聞台,https://www.judy.xx.kg/judy.php?id=li-litv-ftv10/index.m3u8
半島國際新聞台,https://www.judy.xx.kg/judy.php?id=litv-ftv10/index.m3u8
台視HD,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv066/index.m3u8
台視HD,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv066/index.m3u8
台視財經台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv056/index.m3u8
台視新聞台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv051/index.m3u8
台視新聞台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv051/index.m3u8
台灣戲劇台,https://www.judy.xx.kg/judy.php?id=li-litv-longturn22/index.m3u8
台灣戲劇台,https://www.judy.xx.kg/judy.php?id=litv-longturn22/index.m3u8
民視HD,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv002/index.m3u8
民視台灣台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv001/index.m3u8
民視台灣台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv001/index.m3u8
民視旅遊,https://www.judy.xx.kg/judy.php?id=li-litv-ftv07/index.m3u8
民視旅遊,https://www.judy.xx.kg/judy.php?id=litv-ftv07/index.m3u8
民視第一台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv003/index.m3u8
民視第一台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv003/index.m3u8
民視新聞,https://www.judy.xx.kg/judy.php?id=li-litv-ftv13/index.m3u8
民視新聞,https://www.judy.xx.kg/judy.php?id=litv-ftv13/index.m3u8
民視綜藝,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv004/index.m3u8
民視綜藝,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv004/index.m3u8
民視影劇,https://www.judy.xx.kg/judy.php?id=li-litv-ftv09/index.m3u8
民視影劇,https://www.judy.xx.kg/judy.php?id=litv-ftv09/index.m3u8
好消息,https://www.judy.xx.kg/judy.php?id=li-litv-ftv16/index.m3u8
好消息,https://www.judy.xx.kg/judy.php?id=litv-ftv16/index.m3u8
好消息,https://www.judy.xx.kg/judy.php?id=of-litv-ftv16/index.m3u8
好消息2台,https://www.judy.xx.kg/judy.php?id=li-litv-ftv17/index.m3u8
好消息2台,https://www.judy.xx.kg/judy.php?id=litv-ftv17/index.m3u8
好消息2台,https://www.judy.xx.kg/judy.php?id=of-litv-ftv17/index.m3u8
車迷 TV,https://www.judy.xx.kg/judy.php?id=4gtv-live201/index.m3u8
亞洲旅遊,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv076/index.m3u8
亞洲旅遊,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv076/index.m3u8
亞洲旅遊,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv076/index.m3u8
幸福空間居家台,https://www.judy.xx.kg/judy.php?id=4gtv-live206/index.m3u8
東森財經新聞,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv153/index.m3u8
東森財經新聞,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv153/index.m3u8
東森新聞,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv152/index.m3u8
東森新聞,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv152/index.m3u8
東森購物一台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv102/index.m3u8
東森購物一台,https://www.judy.xx.kg/judy.php?id=4gtv-live047/index.m3u8
東森購物一台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv102/index.m3u8
東森購物二台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv103/index.m3u8
東森購物二台,https://www.judy.xx.kg/judy.php?id=4gtv-live046/index.m3u8
東森購物二台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv103/index.m3u8
東森購物三台,https://www.judy.xx.kg/judy.php?id=4gtv-live048/index.m3u8
東森購物四台,https://www.judy.xx.kg/judy.php?id=4gtv-live049/index.m3u8
采昌影劇,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv049/index.m3u8
采昌影劇,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv049/index.m3u8
